geo,country_name,time,sex,age_group,indicator_code,indicator_label,indicator_category,value,unit,data_suppressed,is_outlier_flagged,source_dataset,ehis_wave,last_retrieved
IE,Ireland,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,44.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
IE,Ireland,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,49.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
IS,Iceland,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,72.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
IS,Iceland,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,74.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
IT,Italy,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,22.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
IT,Italy,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,24.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
LT,Lithuania,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,20.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
LT,Lithuania,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,28.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
LU,Luxembourg,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,63.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
LU,Luxembourg,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,67.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
LV,Latvia,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,38.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
LV,Latvia,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,38.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
MT,Malta,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,49.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
MT,Malta,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,23.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
NL,Netherlands,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,52.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
NO,Norway,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,69.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
NO,Norway,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,82.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
PL,Poland,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,20.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
PL,Poland,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,23.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
PT,Portugal,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,30.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
PT,Portugal,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,30.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
RO,Romania,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,2.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
RO,Romania,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,3.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
RS,Serbia,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,10.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
SE,Sweden,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,71.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
SE,Sweden,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,75.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
SI,Slovenia,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,52.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
SI,Slovenia,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,53.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
SK,Slovakia,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,30.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
SK,Slovakia,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,28.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
TR,Türkiye,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,4.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
TR,Türkiye,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,5.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
UK,United Kingdom,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,54.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
AT,Austria,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,84.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
AT,Austria,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,86.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
BE,Belgium,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,80.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
BE,Belgium,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,49.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
BG,Bulgaria,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,36.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
BG,Bulgaria,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,27.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
CY,Cyprus,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,40.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
CY,Cyprus,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,21.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
CZ,Czechia,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,68.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
CZ,Czechia,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,70.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
DE,Germany,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,82.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
DE,Germany,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,75.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
DK,Denmark,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,82.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
DK,Denmark,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,87.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EE,Estonia,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,61.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EE,Estonia,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,75.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EL,Greece,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,35.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EL,Greece,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,47.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
ES,Spain,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,54.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
ES,Spain,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,53.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EU27_2020,European Union - 27 countries (from 2020),2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,62.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EU27_2020,European Union - 27 countries (from 2020),2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,55.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EU28,European Union - 28 countries (2013-2020),2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,62.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FI,Finland,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,79.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FR,France,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,74.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FR,France,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,50.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
HR,Croatia,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,30.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
HR,Croatia,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,47.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
HU,Hungary,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,67.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
HU,Hungary,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,57.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
IE,Ireland,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,65.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
IE,Ireland,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,50.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
IS,Iceland,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,86.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
IS,Iceland,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,97.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
IT,Italy,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,40.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
IT,Italy,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,44.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
LT,Lithuania,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,71.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
LT,Lithuania,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,57.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
LU,Luxembourg,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,88.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
LU,Luxembourg,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,84.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
LV,Latvia,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,73.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
LV,Latvia,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,60.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
MT,Malta,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,49.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
MT,Malta,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,34.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
NL,Netherlands,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,62.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
NO,Norway,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,81.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
NO,Norway,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,87.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
PL,Poland,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,40.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
PL,Poland,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,35.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
PT,Portugal,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,68.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
PT,Portugal,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,33.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
RO,Romania,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,17.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
RO,Romania,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,17.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
RS,Serbia,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,28.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
SE,Sweden,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,85.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
SE,Sweden,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,77.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
SI,Slovenia,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,78.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
SI,Slovenia,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,77.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
SK,Slovakia,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,67.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
SK,Slovakia,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,47.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
TR,Türkiye,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,5.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
TR,Türkiye,2019,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,4.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
UK,United Kingdom,2014,Female,Y15-19,MV_AERO_SPRT,Aerobic sports,Physical Activity,65.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
AT,Austria,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,82.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
AT,Austria,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,77.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
BE,Belgium,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,64.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
BE,Belgium,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,60.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
BG,Bulgaria,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,30.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
BG,Bulgaria,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,28.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
CY,Cyprus,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,39.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
CY,Cyprus,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,33.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
CZ,Czechia,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,65.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
CZ,Czechia,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,60.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
DE,Germany,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,77.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
DE,Germany,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,83.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
DK,Denmark,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,83.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
DK,Denmark,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,83.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EE,Estonia,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,56.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EE,Estonia,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,61.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EL,Greece,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,40.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EL,Greece,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,52.3,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
ES,Spain,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,51.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
ES,Spain,2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,59.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EU27_2020,European Union - 27 countries (from 2020),2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,56.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EU27_2020,European Union - 27 countries (from 2020),2019,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,60.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EU28,European Union - 28 countries (2013-2020),2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,57.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FI,Finland,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,80.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FR,France,2014,Female,Y15-24,MV_AERO_SPRT,Aerobic sports,Physical Activity,61.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
