year,energy_source,total_energy_consumption_twh,renewable_share_pct,fossil_fuel_share_pct,co2_emissions_mt,hydro_twh,wind_twh,solar_twh,biomass_twh,nuclear_twh,coal_twh,gas_twh,oil_twh,energy_intensity,gdp_usd,population,policy_event_flag
1923,coal,54.6,18.6,81.4,7.762,8.6,0,0,3.2,0,19.8,0.883333,3.15,10.275,2.96398e+10,6.53108e+06,0
1924,coal,56.8,18.8,81.2,7.983,8.8,0,0,3.26667,0,20.4,0.9,3.2,10.2,3.30856e+10,6.55389e+06,0
1925,coal,59,19,81,8.204,9,0,0,3.33333,0,21,0.916667,3.25,10.125,3.53256e+10,6.57678e+06,0
1926,coal,61.2,19.2,80.8,8.425,9.2,0,0,3.4,0,21.6,0.933333,3.3,10.05,3.59203e+10,6.59975e+06,0
1927,coal,63.4,19.4,80.6,8.647,9.4,0,0,3.46667,0,22.2,0.95,3.35,9.975,3.70027e+10,6.6228e+06,0
1928,coal,65.6,19.6,80.4,8.868,9.6,0,0,3.53333,0,22.8,0.966667,3.4,9.9,3.8722e+10,6.64592e+06,0
1929,coal,67.8,19.8,80.2,9.089,9.8,0,0,3.6,0,23.4,0.983333,3.45,9.825,3.92909e+10,6.66488e+06,0
1930,coal,70,20,80,9.31,10,0,0,3.66667,0,24,1,3.5,9.75,3.82057e+10,6.67964e+06,0
1931,coal,69,20.2,79.8,9.207,10.2,0,0,3.73333,0,23.6,1.1,3.55,9.675,3.51409e+10,6.6902e+06,0
1932,coal,68,20.4,79.6,9.104,10.4,0,0,3.8,0,23.2,1.2,3.6,9.6,3.15134e+10,6.69654e+06,0
1933,coal,67,20.6,79.4,9.001,10.6,0,0,3.86667,0,22.8,1.3,3.65,9.525,3.04649e+10,6.69864e+06,0
1934,coal,66,20.8,79.2,8.898,10.8,0,0,3.93333,0,22.4,1.4,3.7,9.45,3.0731e+10,6.70074e+06,0
1935,coal,65,21,79,8.795,11,0,0,4,0,22,1.5,3.75,9.375,3.13305e+10,6.70285e+06,0
1936,coal,64,21.2,78.8,8.692,11.2,0,0,4.06667,0,21.6,1.6,3.8,9.3,3.22627e+10,6.70495e+06,0
1937,coal,63,21.4,78.6,8.589,11.4,0,0,4.13333,0,21.2,1.7,3.85,9.225,3.39844e+10,6.70705e+06,0
1938,coal,62,21.6,78.4,8.486,11.6,0,0,4.2,0,20.8,1.8,3.9,9.15,3.83098e+10,6.70916e+06,0
1939,coal,61,21.8,78.2,8.383,11.8,0,0,4.26667,0,20.4,1.9,3.95,9.075,4.34374e+10,6.71538e+06,0
1940,coal,60,22,78,8.28,12,0,0,4.33333,0,20,2,4,9,4.23153e+10,6.72573e+06,0
1941,coal,63.5,22.6,77.4,8.97,12.6,0,0,4.4,0,21.5,2.1,4.6,9.1,4.53399e+10,6.74024e+06,0
1942,coal,67,23.2,76.8,9.66,13.2,0,0,4.46667,0,23,2.2,5.2,9.2,4.30653e+10,6.7589e+06,0
1943,coal,70.5,23.8,76.2,10.35,13.8,0,0,4.53333,0,24.5,2.3,5.8,9.3,4.41158e+10,6.78175e+06,0
1944,coal,74,24.4,75.6,11.04,14.4,0,0,4.6,0,26,2.4,6.4,9.4,4.52274e+10,6.80467e+06,0
1945,coal,77.5,25,75,11.731,15,0,0,4.66667,0,27.5,2.5,7,9.5,1.86972e+10,6.82767e+06,1
1946,coal,81,25.6,74.4,12.421,15.6,0,0,4.73333,0,29,2.6,7.6,9.6,2.1826e+10,6.85074e+06,0
1947,coal,84.5,26.2,73.8,13.111,16.2,0,0,4.8,0,30.5,2.7,8.2,9.7,2.40709e+10,6.8739e+06,0
1948,coal,88,26.8,73.2,13.801,16.8,0,0,4.86667,0,32,2.8,8.8,9.8,3.06481e+10,6.89713e+06,0
1949,coal,91.5,27.4,72.6,14.491,17.4,0,0,4.93333,0,33.5,2.9,9.4,9.9,3.64438e+10,6.91798e+06,0
1950,coal,95,28,72,15.181,18,0,0,5,0,35,3,10,10,4.09656e+10,6.93646e+06,0
1951,coal,99.5,28.7,71.3,16.019,19,0,0,5.2,0,36,3.5,11.5,9.9,4.37696e+10,6.93049e+06,0
1952,coal,104,29.4,70.6,16.857,20,0,0,5.4,0,37,4,13,9.8,4.38043e+10,6.92725e+06,0
1953,coal,108.5,30.1,69.9,17.695,21,0,0,5.6,0,38,4.5,14.5,9.7,4.57128e+10,6.93208e+06,0
1954,coal,113,30.8,69.2,18.533,22,0,0,5.8,0,39,5,16,9.6,5.03929e+10,6.93989e+06,0
1955,coal,117.5,31.5,68.5,19.371,23,0,0,6,0,40,5.5,17.5,9.5,5.59502e+10,6.94666e+06,1
1956,coal,122,32.2,67.8,20.209,24,0,0,6.2,0,41,6,19,9.4,5.98111e+10,6.95227e+06,0
1957,coal,126.5,32.9,67.1,21.047,25,0,0,6.4,0,42,6.5,20.5,9.3,6.34659e+10,6.96584e+06,0
1958,coal,131,33.6,66.4,21.885,26,0,0,6.6,0,43,7,22,9.2,6.5793e+10,6.98734e+06,0
1959,coal,135.5,34.3,65.7,22.723,27,0,0,6.8,0,44,7.5,23.5,9.1,6.76532e+10,7.01427e+06,0
1960,coal,140,35,65,23.561,28,0,0,7,0,45,8,25,9,7.32299e+10,7.04727e+06,0
1961,coal,140,35,65,23.561,28,0,0,7,0,45,8,25,9,7.71131e+10,7.08606e+06,0
1962,coal,140,35,65,23.561,28,0,0,7,0,45,8,25,9,7.89846e+10,7.12958e+06,0
1963,coal,140,35,65,23.561,28,0,0,7,0,45,8,25,9,8.21917e+10,7.1755e+06,0
1964,coal,140,35,65,23.561,28,0,0,7,0,45,8,25,9,8.71335e+10,7.22339e+06,0
1965,oil,189.498,23.94,76.06,40.937,44.675,0,0,0,0,59.115,17.529,65.297,2.114,8.96355e+10,7.27041e+06,0
1966,oil,198.325,24.66,75.34,42.01,48.142,0,0,0,0,56.468,18.821,71.789,2.095,9.46743e+10,7.32152e+06,0
1967,oil,200.363,24.931,75.069,42.078,49.161,0,0,0,0,53.451,18.032,76.548,2.054,9.75608e+10,7.37629e+06,0
1968,oil,214.242,23.942,76.058,45.235,50.514,0,0,0,0,52.774,19.229,88.466,2.102,1.01902e+11,7.41463e+06,0
1969,oil,221.926,21.212,78.788,48.09,46.439,0,0,0,0,51.936,23.329,97.226,2.049,1.08305e+11,7.44031e+06,0
1970,oil,254.149,23.624,76.376,53.022,59.138,0,0,0,0,55.854,28.298,107.044,2.191,1.16016e+11,7.46632e+06,0
1971,oil,253.084,18.684,81.316,55.613,46.722,0,0,0,0,51.234,32.507,119.607,2.075,1.2195e+11,7.49964e+06,0
1972,oil,261.826,18.56,81.44,57.026,48.021,0,0,0,0,46.454,35.13,129.123,2.021,1.29526e+11,7.54326e+06,0
1973,oil,281.51,19.189,80.811,60.484,53.359,0,0,0,0,46.17,38.611,139.928,2.072,1.35852e+11,7.58511e+06,0
1974,oil,282.962,22.621,77.379,58.129,63.089,0,0,0,0,48.723,41.852,125.228,2.004,1.41213e+11,7.59796e+06,0
1975,oil,281.064,23.879,76.121,56.294,66.098,0,0,0,0,42.341,41.802,126.559,1.998,1.40695e+11,7.57783e+06,0
1976,oil,290.894,19.89,80.11,61.259,57.127,0,0,0,0,45.06,47.61,137.411,1.977,1.47134e+11,7.56446e+06,0
1977,oil,291.598,24.109,75.891,57.43,69.224,0,0,0,0,37.8,48.52,131.587,1.893,1.54018e+11,7.56733e+06,0
1978,oil,304.19,23.115,76.885,60.664,69.28,0,0,0,0,38.402,50.468,141.57,1.982,1.53462e+11,7.5612e+06,1
1979,oil,322.217,24.606,75.394,63.239,78.047,0,0,0,0,41.686,50.04,147.409,1.991,1.61829e+11,7.54834e+06,0
1980,oil,320.874,25.617,74.383,62.304,80.861,0,0,0,0,42.835,48.074,143.887,1.938,1.65574e+11,7.54841e+06,0
1981,oil,311.52,28.003,71.997,58.696,85.687,0,0,0,0,43.85,45.824,130.631,1.883,1.65408e+11,7.56755e+06,0
1982,oil,301.322,29.015,70.985,55.891,85.823,0,0,0,0,41.706,44.355,123.901,1.788,1.68565e+11,7.57308e+06,0
1983,oil,300.495,28.818,71.182,56.071,85.017,0,0,0,0,44.656,45.257,120.08,1.734,1.73294e+11,7.56117e+06,0
1984,oil,297.469,25.484,74.516,58.366,74.582,0,0,0,0,50.886,50.39,116.798,1.711,1.73866e+11,7.56072e+06,0
1985,oil,315.806,28.506,71.494,59.119,85.487,0,0,0,0,50.815,53.992,116.986,1.777,1.77761e+11,7.56431e+06,0
1986,oil,316.435,28.914,71.086,58.567,85.844,0,0,0,0,45.303,52.421,123.218,1.739,1.81933e+11,7.5694e+06,0
1987,oil,334.019,30.869,69.131,59.862,98.3,0,0,0,0,44.939,54.686,126.86,1.806,1.84993e+11,7.57431e+06,0
1988,oil,329.132,31.4,68.6,58.514,98.067,0,0,0,0,43.033,52.385,125.978,1.725,1.90846e+11,7.58535e+06,0
1989,oil,330.973,31.084,68.916,58.9,97.451,0,0,0,0,43.227,56.26,124.222,1.664,1.98919e+11,7.6204e+06,0
1990,oil,333.824,27.764,72.236,62.398,87.525,0,0,0,0,47.64,61.935,127.43,1.605,2.07979e+11,7.67963e+06,0
1991,oil,349.4,26.528,73.472,66.439,87.343,0,0,0,0,49.972,65.664,136.873,1.618,2.15993e+11,7.75714e+06,0
1992,oil,344.792,29.828,70.172,61.697,96.801,0,0,0,0,38.882,64.482,134.139,1.557,2.21401e+11,7.84272e+06,0
1993,oil,352.443,30.718,69.282,61.731,101.96,0,0.003,0,0,34.959,67.812,136.786,1.577,2.23463e+11,7.90749e+06,0
1994,oil,349.408,30.028,69.972,61.753,99.188,0,0.003,0,0,35.454,69.751,134.748,1.521,2.29749e+11,7.93816e+06,0
1995,oil,367.661,30.14,69.86,64.944,102.965,0.003,0.003,0,0,40.339,76.157,135.624,1.552,2.36824e+11,7.95032e+06,1
1996,oil,375.696,27.074,72.926,69.222,95.045,0.014,0.003,0,0,40.51,81.061,147.857,1.543,2.43481e+11,7.96092e+06,0
1997,oil,380.569,28.264,71.736,69.29,100.292,0.056,0.006,0,0,42.968,78.126,147.184,1.523,2.49847e+11,7.9698e+06,0
1998,oil,389.247,28.532,71.468,70.1,103.231,0.125,0.006,0,0,37.829,80.207,155.298,1.498,2.59776e+11,7.97846e+06,0
1999,oil,392.804,30.668,69.332,68.364,113.053,0.142,0.006,0,0,37.685,81.928,147.59,1.454,2.70186e+11,7.99389e+06,0
2000,oil,395.171,31.268,68.732,68.745,116.21,0.186,0.008,0,0,42.47,78.205,145.702,1.409,2.8041e+11,8.01293e+06,0
2001,oil,406.593,29.411,70.589,72.662,111.755,0.475,0.014,0,0,43.879,82.882,155.139,1.425,2.85336e+11,8.04223e+06,0
2002,oil,406.828,28.923,71.077,73.341,110.211,0.556,0.025,0,0,44.58,81.485,157.876,1.397,2.91231e+11,8.08164e+06,1
2003,oil,407.704,24.121,75.879,78.573,90.504,0.997,0.041,0,0,47.548,89.63,167.63,1.384,2.94489e+11,8.1226e+06,0
2004,oil,422.457,22.553,77.447,79.085,99.627,2.504,0.049,0,0,46.576,90.492,170.164,1.391,3.03692e+11,8.1735e+06,0
2005,oil,431.35,24.353,75.647,80.257,99.718,3.579,0.057,0.722,0,46.731,95.277,170.741,1.385,3.11441e+11,8.2292e+06,0
2006,oil,425.865,26.276,73.724,78.847,95.337,4.687,0.06,2.893,0,46.675,89.532,169.869,1.318,3.23237e+11,8.2699e+06,0
2007,oil,420.066,28.144,71.856,75.568,98.549,5.418,0.064,3.444,0,45.045,84.709,163.243,1.249,3.36304e+11,8.29695e+06,1
2008,oil,424.56,28.788,71.212,75.399,101.133,5.307,0.079,3.866,0,44.525,90.686,158.703,1.238,3.42893e+11,8.32325e+06,0
2009,oil,409.772,31.039,68.961,68.736,107.339,5.129,0.128,4.914,0,33.461,88.319,149.565,1.238,3.31119e+11,8.34507e+06,0
2010,oil,421.558,31.205,68.795,73.511,99.905,5.375,0.231,5.188,0,39.344,96.128,154.078,1.244,3.38832e+11,8.36509e+06,0
2011,oil,395.869,31.552,68.448,70.343,88.697,5.016,0.451,5.106,0,40.411,90.418,145.069,1.132,3.49713e+11,8.39327e+06,1
2012,oil,414.402,32.734,67.266,67.828,113.01,6.345,0.87,5.319,0,37.621,86.241,142.342,1.177,3.52093e+11,8.4316e+06,0
2013,oil,410.852,32.665,67.335,68.019,107.46,8.065,1.601,5.218,0,38.131,82.005,145.649,1.167,3.52183e+11,8.48141e+06,0
2014,oil,394.889,33.55,66.45,64.444,104.344,9.786,1.998,5.157,0,35.021,75.11,141.401,1.114,3.54512e+11,8.54781e+06,0
2015,oil,396.383,33.497,66.503,66.764,94.068,12.254,2.372,5.353,0,37.999,79.681,142.845,1.107,3.58108e+11,8.64404e+06,0
2016,oil,409.651,33.37,66.63,67.524,100.43,13.153,2.754,5.366,0,35.448,83.422,146.155,1.122,3.65233e+11,8.73792e+06,0
2017,oil,417.569,33.136,66.864,69.447,95.734,16.429,3.172,5.352,0,36.565,90.699,146.429,1.118,3.73482e+11,8.79878e+06,0
2018,oil,408.402,33.784,66.216,67.87,93.627,15.001,3.62,5.171,0,32.285,86.869,148.913,1.068,3.8254e+11,8.84165e+06,1
2019,oil,427.96,33.755,66.245,69.999,101.054,18.441,4.213,5.167,0,33.945,89.004,153.201,1.102,3.88345e+11,8.88088e+06,0
2020,oil,400.144,36.545,63.455,62.245,103.699,16.769,5.044,4.622,0,29.032,85.272,133.029,1.101,3.63281e+11,8.9214e+06,0
2021,oil,406.335,34.643,65.357,65.513,95.787,16.601,6.832,4.847,0,30.162,90.154,140.215,1.07,3.79835e+11,8.96705e+06,1
2022,oil,381.823,34.057,65.943,61.474,85.074,17.793,9.294,4.605,0,28.861,79.128,135.031,0.957,3.98815e+11,9.06468e+06,0
2023,oil,393.96,41.6,58.4,58.833,99.202,19.602,15.597,5.405,0,27.945,68.813,134.105,,5.6e+11,9.13043e+06,0
2024,oil,412.337,42.951,57.049,58.132,109.254,22.462,22.983,5.28,0,27.965,68.219,131.877,,5.6e+11,9.12082e+06,1
