year,energy_source,total_energy_consumption_twh,renewable_share_pct,fossil_fuel_share_pct,co2_emissions_mt,co2_per_capita_t,hydro_twh,wind_twh,solar_twh,biomass_twh,nuclear_twh,coal_twh,gas_twh,oil_twh,total_renewable_twh,total_fossil_twh,energy_intensity,gdp_usd,population,decade,policy_event_flag,eu_renewable_share_pct
1925,coal,59.111,17.002,82.998,8.169,1.24,11.969,0.0,0.002,6.092,0.0,30.867,2.299,7.881,18.064,41.048,1.799,32859166667,6590000,1920s,0,17.0
1926,coal,61.333,17.125,82.875,8.405,1.272,12.63,0.0,0.002,6.311,0.0,31.621,2.436,8.333,18.943,42.39,1.779,34467100000,6610000,1920s,0,16.88
1927,coal,63.556,17.245,82.755,8.639,1.303,13.301,0.0,0.002,6.53,0.0,32.353,2.575,8.794,19.833,43.722,1.762,36075033333,6630000,1920s,0,16.76
1928,coal,65.778,17.371,82.629,8.878,1.335,13.987,0.0,0.002,6.747,0.0,33.06,2.718,9.264,20.736,45.041,1.746,37682966667,6650000,1920s,0,16.64
1929,coal,68.0,17.475,82.525,9.094,1.363,14.67,0.0,0.002,6.972,0.0,33.751,2.861,9.744,21.645,46.355,1.731,39290900000,6670000,1920s,0,16.52
1930,coal,67.333,17.603,82.397,9.036,1.353,14.779,0.0,0.002,6.905,0.0,32.926,2.892,9.83,21.687,45.647,1.718,39181888889,6680000,1930s,0,16.4
1931,coal,66.667,17.706,82.294,8.952,1.338,14.862,0.0,0.002,6.849,0.0,32.123,2.917,9.912,21.715,44.952,1.706,39072877778,6690000,1930s,0,16.28
1932,coal,66.0,17.804,82.196,8.864,1.323,14.936,0.0,0.002,6.795,0.0,31.336,2.94,9.99,21.734,44.266,1.694,38963866667,6700000,1930s,0,16.16
1933,coal,65.333,17.933,82.067,8.807,1.313,15.024,0.0,0.002,6.727,0.0,30.553,2.966,10.06,21.754,43.579,1.681,38854855556,6710000,1930s,0,16.04
1934,coal,64.667,18.055,81.945,8.743,1.301,15.1,0.0,0.002,6.662,0.0,29.787,2.99,10.125,21.765,42.902,1.669,38745844444,6720000,1930s,0,15.92
1935,coal,64.0,18.196,81.804,8.696,1.292,15.181,0.0,0.002,6.589,0.0,29.03,3.014,10.183,21.773,42.227,1.656,38636833333,6730000,1930s,0,15.8
1936,coal,63.333,18.325,81.675,8.638,1.282,15.248,0.001,0.002,6.521,0.0,28.289,3.035,10.237,21.772,41.561,1.644,38527822222,6740000,1930s,0,15.68
1937,coal,62.667,18.429,81.571,8.557,1.268,15.291,0.001,0.002,6.463,0.0,27.569,3.051,10.289,21.757,40.909,1.631,38418811111,6750000,1930s,0,15.56
1938,coal,62.0,18.564,81.436,8.503,1.258,15.348,0.001,0.002,6.393,0.0,26.854,3.07,10.332,21.744,40.256,1.618,38309800000,6760000,1930s,0,15.44
1939,coal,59.571,18.671,81.329,8.634,1.272,14.668,0.0,0.002,6.025,0.0,26.108,2.925,9.843,20.696,38.876,1.678,35508000000,6790000,1930s,0,15.32
1940,coal,57.143,18.794,81.206,8.78,1.287,14.007,0.0,0.002,5.668,0.0,25.317,2.786,9.363,19.678,37.465,1.747,32706200000,6820000,1940s,0,15.2
1941,coal,54.714,18.913,81.087,8.922,1.303,13.353,0.0,0.002,5.327,0.0,24.49,2.648,8.894,18.683,36.032,1.83,29904400000,6850000,1940s,0,15.08
1942,coal,52.286,19.038,80.962,9.069,1.318,12.71,0.0,0.002,4.998,0.0,23.627,2.514,8.434,17.71,34.575,1.929,27102600000,6880000,1940s,0,14.96
1943,coal,49.857,19.168,80.832,9.222,1.335,12.077,0.0,0.002,4.68,0.0,22.731,2.383,7.983,16.76,33.098,2.052,24300800000,6910000,1940s,0,14.84
1944,coal,47.429,19.292,80.708,9.369,1.35,11.447,0.0,0.002,4.377,0.0,21.808,2.254,7.541,15.826,31.602,2.206,21499000000,6940000,1940s,0,14.72
1945,coal,45.0,19.411,80.589,9.51,1.364,10.821,0.0,0.002,4.086,0.0,20.858,2.126,7.107,14.909,30.091,2.407,18697200000,6970000,1940s,1,14.6
1946,coal,55.0,19.533,80.467,10.655,1.53,13.237,0.0,0.002,4.829,0.0,25.912,2.539,8.48,18.068,36.932,2.376,23150880000,6962800,1940s,0,14.48
1947,coal,65.0,19.653,80.347,11.796,1.696,15.654,0.001,0.002,5.528,0.0,31.082,2.935,9.798,21.185,43.815,2.355,27604560000,6955600,1940s,0,14.36
1948,coal,75.0,19.76,80.24,12.92,1.859,18.064,0.001,0.003,6.193,0.0,36.357,3.316,11.067,24.26,50.74,2.339,32058240000,6948400,1940s,0,14.24
1949,coal,85.0,19.871,80.129,14.048,2.024,20.477,0.001,0.003,6.821,0.0,41.722,3.683,12.292,27.303,57.697,2.328,36511920000,6941200,1940s,0,14.12
1950,coal,95.0,19.99,80.01,15.184,2.19,22.897,0.001,0.003,7.416,0.0,47.166,4.041,13.476,30.317,64.683,2.319,40965600000,6934000,1950s,0,14.0
1951,coal,99.5,20.5,79.5,16.04,2.312,24.023,0.001,0.003,7.407,0.0,48.046,4.671,15.348,31.435,68.065,2.263,43962520000,6936600,1950s,0,13.6
1952,coal,104.0,20.997,79.003,16.875,2.432,25.136,0.001,0.003,7.411,0.0,48.956,5.292,17.201,32.551,71.449,2.215,46959440000,6939200,1950s,0,13.2
1953,coal,108.5,21.528,78.472,17.767,2.559,26.281,0.001,0.003,7.405,0.0,49.868,5.913,19.029,33.69,74.81,2.172,49956360000,6941800,1950s,0,12.8
1954,coal,113.0,22.005,77.995,18.569,2.674,27.374,0.001,0.004,7.427,0.0,50.826,6.518,20.852,34.805,78.195,2.134,52953280000,6944400,1950s,0,12.4
1955,coal,117.5,22.488,77.512,19.379,2.79,28.472,0.001,0.004,7.45,0.0,51.795,7.118,22.66,35.926,81.574,2.1,55950200000,6947000,1950s,1,12.0
1956,coal,122.0,23.004,76.996,20.247,2.906,29.986,0.001,0.004,7.494,0.0,52.208,7.755,24.553,37.484,84.516,2.054,59406140000,6967000,1950s,0,11.6
1957,coal,126.5,23.522,76.478,21.12,3.023,31.501,0.001,0.004,7.538,0.0,52.624,8.392,26.441,39.044,87.456,2.012,62862080000,6987000,1950s,0,11.2
1958,coal,131.0,24.02,75.98,21.956,3.133,32.994,0.001,0.004,7.592,0.0,53.057,9.022,28.331,40.59,90.41,1.975,66318020000,7007000,1950s,0,10.8
1959,coal,135.5,24.523,75.477,22.803,3.245,34.493,0.001,0.004,7.643,0.0,53.49,9.653,30.217,42.141,93.359,1.942,69773960000,7027000,1950s,0,10.4
1960,oil,140.0,25.035,74.965,23.665,3.358,35.998,0.001,0.004,7.693,0.0,53.923,10.285,32.097,43.695,96.305,1.912,73229900000,7047000,1960s,0,10.0
1961,oil,149.9,24.317,75.683,25.916,3.655,36.572,0.001,0.004,7.482,0.0,51.52,12.445,41.876,44.059,105.841,1.959,76511020000,7091600,1960s,0,9.7
1962,oil,159.8,23.589,76.411,28.134,3.942,37.173,0.001,0.004,7.291,0.0,49.251,14.568,51.513,44.468,115.332,2.003,79792140000,7136200,1960s,0,9.4
1963,oil,169.7,22.887,77.113,30.405,4.234,37.833,0.001,0.004,7.102,0.0,47.069,16.676,61.015,44.939,124.761,2.043,83073260000,7180800,1960s,0,9.1
1964,oil,179.6,22.206,77.794,32.737,4.531,38.545,0.001,0.004,6.915,0.0,44.957,18.778,70.4,45.464,134.136,2.08,86354380000,7225400,1960s,0,8.8
1965,oil,189.5,21.484,78.516,34.949,4.807,39.228,0.001,0.004,6.752,0.0,42.937,20.84,79.739,45.985,143.515,2.114,89635500000,7270000,1960s,0,8.5
1966,oil,202.8,20.792,79.208,37.571,5.137,38.329,0.001,0.004,6.814,0.0,40.866,24.208,92.579,45.147,157.653,2.137,94911600000,7314400,1960s,0,8.2
1967,oil,216.1,20.099,79.901,40.195,5.462,37.243,0.001,0.004,6.854,0.0,38.538,27.673,105.786,44.103,171.997,2.157,100187700000,7358800,1960s,0,7.9
1968,oil,229.4,19.396,80.604,42.781,5.779,35.978,0.001,0.005,6.881,0.0,35.986,31.216,119.334,42.864,186.536,2.175,105463800000,7403200,1960s,0,7.6
1969,oil,242.7,18.706,81.294,45.428,6.1,34.582,0.001,0.005,6.885,0.0,33.221,34.852,133.154,41.473,201.227,2.192,110739900000,7447600,1960s,0,7.3
1970,oil,256.0,18.009,81.991,48.05,6.414,33.044,0.001,0.005,6.877,0.0,30.275,38.552,147.246,39.927,216.073,2.207,116016000000,7492000,1970s,0,7.0
1971,oil,264.5,18.431,81.569,50.168,6.681,33.757,0.001,0.005,6.81,0.0,28.848,40.508,154.573,40.572,223.928,2.187,120951800000,7509200,1970s,0,7.1
1972,oil,273.0,18.824,81.176,52.135,6.927,34.446,0.001,0.005,6.766,0.0,27.522,42.395,161.865,41.218,231.782,2.169,125887600000,7526400,1970s,0,7.2
1973,oil,281.5,19.207,80.793,54.037,7.163,35.134,0.001,0.005,6.736,0.0,26.276,44.243,169.105,41.876,239.624,2.152,130823400000,7543600,1970s,0,7.3
1974,oil,278.25,19.597,80.403,51.985,6.876,36.86,0.001,0.005,6.9,0.0,25.806,47.392,161.286,43.766,234.484,2.05,135759200000,7560800,1970s,0,7.4
1975,oil,275.0,19.988,80.012,49.942,6.59,38.641,0.001,0.005,7.07,0.0,25.331,50.633,153.319,45.717,229.283,1.955,140695000000,7578000,1970s,0,7.5
1976,oil,283.75,20.405,79.595,51.276,6.772,39.561,0.001,0.005,7.267,0.0,25.12,53.126,158.67,46.834,236.916,1.948,145670800000,7572200,1970s,0,7.6
1977,oil,292.5,20.796,79.204,52.479,6.936,40.444,0.001,0.005,7.476,0.0,24.914,55.576,164.084,47.926,244.574,1.942,150646600000,7566400,1970s,0,7.7
1978,oil,301.25,21.197,78.803,53.734,7.107,41.339,0.001,0.005,7.68,0.0,24.7,58.049,169.476,49.025,252.225,1.936,155622400000,7560600,1970s,1,7.8
1979,oil,310.0,21.608,78.392,55.04,7.285,42.247,0.001,0.005,7.879,0.0,24.478,60.545,174.844,50.132,259.868,1.93,160598200000,7554800,1970s,0,7.9
1980,oil,309.0,21.995,78.005,53.975,7.15,43.939,0.001,0.005,8.242,0.0,24.721,60.416,171.675,52.188,256.812,1.866,165574000000,7549000,1980s,0,8.0
1981,oil,309.0,22.193,77.807,54.367,7.199,45.128,0.001,0.006,8.641,0.0,24.8,61.842,168.583,53.775,255.225,1.839,168011400000,7552000,1980s,0,8.2
1982,oil,309.0,22.372,77.628,54.661,7.235,46.323,0.001,0.006,9.062,0.0,24.888,63.271,165.449,55.392,253.608,1.813,170448800000,7555000,1980s,0,8.4
1983,oil,309.0,22.57,77.43,55.051,7.284,47.583,0.001,0.006,9.485,0.0,24.972,64.781,162.173,57.075,251.925,1.787,172886200000,7558000,1980s,0,8.6
1984,oil,309.0,22.775,77.225,55.48,7.338,48.891,0.001,0.006,9.916,0.0,25.055,66.352,158.778,58.815,250.185,1.762,175323600000,7561000,1980s,0,8.8
1985,oil,309.0,22.992,77.008,55.961,7.398,50.255,0.001,0.006,10.354,0.0,25.136,67.993,155.254,60.617,248.383,1.738,177761000000,7564000,1980s,0,9.0
1986,oil,310.8,23.212,76.788,56.66,7.445,49.461,0.001,0.006,10.588,0.0,24.423,70.364,155.956,60.056,250.744,1.691,183804600000,7610400,1980s,0,9.2
1987,oil,312.6,23.407,76.593,57.232,7.475,48.641,0.001,0.006,10.836,0.0,23.728,72.668,156.72,59.484,253.116,1.647,189848200000,7656800,1980s,0,9.4
1988,oil,314.4,23.607,76.393,57.836,7.508,47.839,0.001,0.006,11.078,0.0,23.037,74.967,157.47,58.925,255.475,1.605,195891800000,7703200,1980s,0,9.6
1989,oil,316.2,23.806,76.194,58.432,7.54,47.045,0.001,0.006,11.32,0.0,22.355,77.247,158.226,58.372,257.828,1.566,201935400000,7749600,1980s,0,9.8
1990,oil,318.0,24.019,75.981,59.094,7.58,46.277,0.001,0.006,11.551,0.0,21.675,79.539,158.951,57.836,260.164,1.529,207979000000,7796000,1990s,0,10.0
1991,oil,322.4,23.823,76.177,60.318,7.707,47.398,0.001,0.007,11.755,0.0,20.663,81.869,160.709,59.16,263.24,1.508,213748000000,7826800,1990s,0,10.2
1992,oil,326.8,23.617,76.383,61.486,7.825,48.498,0.001,0.007,11.965,0.0,19.671,84.159,162.499,60.472,266.328,1.489,219517000000,7857600,1990s,0,10.4
1993,oil,331.2,23.395,76.605,62.572,7.932,49.573,0.001,0.007,12.186,0.0,18.7,86.398,164.335,61.767,269.433,1.47,225286000000,7888400,1990s,0,10.6
1994,oil,335.6,23.21,76.79,63.854,8.063,50.69,0.001,0.007,12.38,0.0,17.734,88.707,166.08,63.078,272.522,1.452,231055000000,7919200,1990s,0,10.8
1995,oil,340.0,23.011,76.989,65.06,8.184,51.783,0.004,0.007,12.584,0.0,16.787,90.969,167.866,64.378,275.622,1.436,236824000000,7950000,1990s,1,11.0
1996,oil,343.4,24.024,75.976,65.73,8.251,52.431,0.009,0.007,12.804,0.0,16.16,92.034,169.956,65.251,278.149,1.501,228714000000,7966517,1990s,0,11.1
1997,oil,346.8,25.013,74.987,66.27,8.301,53.047,0.014,0.007,13.04,0.0,15.545,93.041,172.106,66.108,280.692,1.572,220604000000,7983035,1990s,0,11.2
1998,oil,350.2,26.038,73.962,66.995,8.375,53.703,0.055,0.007,13.249,0.0,14.926,94.118,174.142,67.013,283.187,1.648,212494000000,7999552,1990s,0,11.3
1999,oil,353.6,27.016,72.984,67.479,8.418,54.298,0.096,0.007,13.49,0.0,14.324,95.09,176.295,67.89,285.71,1.73,204384000000,8016070,1990s,0,11.4
2000,oil,357.0,28.036,71.964,68.174,8.487,54.944,0.136,0.007,13.701,0.0,13.719,96.152,178.341,68.788,288.212,1.819,196274000000,8032587,2000s,0,11.5
2001,oil,361.2,27.108,72.892,70.569,8.743,54.054,0.317,0.011,14.038,0.0,13.367,98.826,180.587,68.42,292.78,1.643,219846000000,8071870,2000s,0,11.03
2002,oil,365.4,26.178,73.822,72.937,8.992,53.177,0.497,0.015,14.376,0.0,13.021,101.47,182.843,68.065,297.335,1.501,243418000000,8111152,2000s,1,10.55
2003,oil,369.6,25.247,74.753,75.287,9.237,52.315,0.676,0.019,14.715,0.0,12.682,104.09,185.103,67.725,301.875,1.384,266990000000,8150435,2000s,0,10.07
2004,oil,373.8,24.35,75.65,77.773,9.496,51.5,0.84,0.023,15.034,0.0,12.344,106.755,187.304,67.397,306.403,1.286,290562000000,8189717,2000s,0,9.6
2005,oil,378.0,25.17,74.83,80.399,9.77,50.727,0.998,0.027,15.333,0.0,12.007,109.464,189.444,67.085,310.915,1.203,314134000000,8229000,2000s,0,10.4
2006,oil,374.4,26.93,73.07,77.996,9.447,51.079,1.292,0.048,15.67,0.0,11.696,108.543,186.072,68.089,306.311,1.137,329338000000,8255766,2000s,0,11.0
2007,oil,370.8,28.51,71.49,75.565,9.123,51.419,1.583,0.069,16.008,0.0,11.387,107.609,182.725,69.079,301.721,1.076,344542000000,8282532,2000s,1,11.6
2008,oil,367.2,28.99,71.01,72.862,8.769,51.678,1.987,0.09,16.378,0.0,11.084,106.52,179.462,70.133,297.067,1.021,359746000000,8309297,2000s,0,12.4
2009,oil,363.6,31.38,68.62,72.486,8.696,52.018,2.366,0.11,16.686,0.0,10.772,105.612,176.036,71.179,292.421,0.97,374950000000,8336063,2000s,0,13.4
2010,oil,360.0,31.21,68.79,72.041,8.614,52.335,2.744,0.131,16.999,0.0,10.464,104.67,172.657,72.209,287.791,0.923,390154000000,8362829,2010s,0,12.5
2011,oil,356.0,30.9,69.1,70.975,8.43,51.675,3.33,0.305,17.231,0.0,9.919,102.305,171.235,72.541,283.459,0.917,388038400000,8419063,2010s,1,13.2
2012,oil,352.0,32.63,67.37,69.934,8.251,51.02,3.914,0.478,17.457,0.0,9.375,99.957,169.799,72.869,279.131,0.912,385922800000,8475297,2010s,0,14.4
2013,oil,348.0,32.57,67.43,68.964,8.083,50.348,4.721,0.65,17.657,0.0,8.826,97.582,168.217,73.376,274.624,0.907,383807200000,8531532,2010s,0,15.3
2014,oil,344.0,33.41,66.59,68.121,7.932,49.688,5.496,0.966,17.825,0.0,8.274,95.236,166.515,73.976,270.024,0.901,381691600000,8587766,2010s,0,16.2
2015,oil,340.0,33.5,66.5,66.981,7.749,48.953,6.317,1.289,18.04,0.0,7.731,92.753,164.917,74.599,265.401,0.896,379576000000,8644000,2010s,0,16.7
2016,oil,351.25,33.53,66.47,67.705,7.775,49.705,6.901,1.529,18.456,0.0,7.327,95.922,171.41,76.59,274.66,0.888,395440000000,8708500,2010s,0,17.5
2017,oil,362.5,33.07,66.93,68.587,7.818,50.475,7.459,1.765,18.838,0.0,6.903,99.18,177.88,78.538,283.962,0.881,411304000000,8773000,2010s,0,17.9
2018,oil,373.75,33.78,66.22,69.261,7.837,51.165,8.075,2.019,19.251,0.0,6.462,102.33,184.448,80.51,293.24,0.875,427168000000,8837500,2010s,1,18.9
2019,oil,385.0,33.83,66.17,69.976,7.861,56.301,8.826,2.648,19.543,0.0,5.97,101.749,189.964,87.317,297.683,0.869,443032000000,8902000,2010s,0,19.7
2020,oil,329.0,36.55,63.45,61.995,6.96,56.099,8.728,2.993,18.078,0.0,4.987,91.005,147.11,85.898,243.102,0.758,434051000000,8907777,2020s,0,22.1
2021,oil,355.0,34.07,65.93,65.899,7.34,50.542,9.562,3.903,19.036,0.0,4.864,101.084,166.009,83.043,271.957,0.826,430000000000,8978000,2020s,1,21.8
2022,oil,348.0,34.08,65.92,61.464,6.751,53.319,10.028,4.558,19.301,0.0,4.553,87.131,169.109,87.207,260.793,0.735,473590000000,9104000,2020s,0,23.1
2023,oil,340.0,40.84,59.16,58.696,6.409,59.153,10.333,6.458,19.323,0.0,4.119,79.728,160.885,95.268,244.732,0.659,516000000000,9158000,2020s,0,24.5
2024,oil,345.0,42.002,57.998,57.005,6.251,58.003,11.73,11.624,19.772,0.0,3.955,79.095,160.82,101.13,243.87,0.651,530000000000,9120000,2020s,1,26.0
